student_id,q1mark,q2mark,q3mark,q4mark
1416455,13,13,11,28
1579288,0,10,13,23
1625654,8,10,10,4
1665555,13,12,13,4
1613273,9,13,12,4
1623112,9,12,12,12
1696326,9,12,13,26
1646434,9,13,11,26
1614142,9,13,10,26
1654432,9,12,0,26
1661638,14,10,10,13
1686272,9,13,10,26
1778274,9,5,9,22
1795656,9,10,10,19
1747457,13,11,12,19
1798883,14,11,12,19
1766156,12,8,10,6
1715578,19,12,12,26
1745484,0,0,0,0
1788337,15,13,13,20
1728439,14,13,12,20
1711619,16,12,11,11
1711729,8,11,13,6
1892367,10,13,13,34
1872128,10,13,15,24
1868128,18,13,11,27
1845457,0,0,0,0
