student_id,q1mark,q2mark,q3mark,q4mark
1633554,0,0,0,0
1645333,10,12,11,18
1691291,17,10,10,17
1641252,15,14,11,22
1695837,14,5,9,25
1668314,17,5,11,27
1665491,14,13,10,6
1763881,0,0,0,0
1773277,14,13,13,18
1759787,0,0,0,0
1743714,16,0,11,12
1728125,18,0,8,20
1783512,10,10,12,28
1768463,14,10,11,21
1797625,14,10,11,19
1754681,10,0,15,29
1769463,0,0,0,0
1731817,18,11,10,8
1791753,18,13,11,15
1712983,17,10,10,30
1784847,17,13,11,27
1789481,19,12,10,21
1773384,14,8,11,18
1762565,18,10,11,17
1835874,18,10,11,19
1886577,14,5,14,22
1834433,18,12,8,25
1855787,9,13,14,15
1893863,0,0,0,0
1842333,14,12,11,15
