studentId,q1 mark,q2 mark,q3 mark,q4mark,q5mark,q6mark
1633554,0,10,5,15,0,0
1641252,22,22,24,14,25,17
1645333,22,0,23,16,15,13
1665491,18,0,20,16,0,5
1668314,0,0,0,0,0,0
1691291,6,10,0,0,2,11
1695837,19,0,24,0,5,7
1712983,8,10,22,0,20,13
1728125,15,0,24,16,0,18
1731817,22,18,22,16,27,16
1743714,8,0,20,0,3,2
1754681,18,15,27,18,5,19
1759787,13,0,20,0,5,10
1762565,6,22,0,0,15,4
1763881,0,0,27,0,0,15
1768463,10,0,20,16,0,11
1769463,20,0,0,0,0,0
1773277,17,0,22,18,0,0
1773384,15,0,20,0,0,9
1783512,10,0,22,16,0,13
1784847,23,15,20,0,28,19
1789481,22,19,24,0,27,17
1791753,20,18,22,15,17,15
1797625,15,0,22,0,14,14
1834433,22,20,27,18,22,19
1835874,18,25,10,0,0,0
1842333,20,0,15,14,6,0
1855787,20,15,26,10,0,0
1886577,17,7,20,10,7,18
1893863,0,0,20,6,0,0
