studentId,q1 mark,q2 mark,q3 mark,q4mark,q5mark,q6mark
1528882,15,7,0,0,0,4
1612985,0,0,22,12,0,8
1614733,0,0,0,0,0,0
1616161,0,0,18,11,20,20
1622731,0,0,0,0,0,0
1634352,10,10,15,6,6,13
1653725,0,0,0,0,0,0
1662147,15,0,0,5,0,5
1669953,0,0,5,0,0,0
1674181,20,0,5,5,0,8
1678812,0,0,0,16,1,0
1691483,0,0,20,15,0,0
1718437,18,0,22,12,20,20
1728139,5,0,10,0,0,15
1729416,0,20,18,20,0,13
1731852,0,20,0,0,0,17
1736425,17,20,22,0,20,19
1737824,15,20,22,20,0,10
1742892,5,0,5,0,0,0
1752538,0,20,0,15,0,0
1766176,10,22,18,16,10,8
1772947,15,0,27,16,5,19
1781682,12,7,0,13,0,7
1797789,0,0,15,0,0,8
1835298,4,18,20,20,16,17
1849651,15,12,22,13,0,8
1863951,10,20,15,20,17,16
1873255,18,0,22,19,28,19
1877262,18,2,22,18,28,18
1887973,19,15,0,0,10,18
1898334,10,18,0,0,1,6
